x,y
19,13
20,13
21,13
22,13
23,13
24,13
25,13
26,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
56,13
58,13
59,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,13
80,13
81,13
82,13
83,13
84,13
85,13
86,13
87,13
88,13
89,13
90,13
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,13
99,13
100,13
101,13
102,13
103,13
104,13
105,13
106,13
107,13
108,13
109,13
110,13
111,13
112,13
113,13
114,13
115,13
116,13
63,14
64,14
65,14
66,14
67,14
68,14
69,14
70,14
71,14
72,14
73,14
113,14
114,14
115,14
117,14
74,14
75,14
76,14
77,14
78,14
79,14
80,14
81,14
82,14
83,14
84,14
85,14
86,14
87,14
88,14
89,14
90,14
91,14
92,14
93,14
94,14
95,14
96,14
103,14
104,14
105,14
106,14
107,14
108,14
109,14
110,14
111,14
112,14
9,14
10,14
11,14
12,14
13,14
14,14
15,14
16,14
17,14
18,14
19,14
20,14
21,14
22,14
23,14
24,14
25,14
26,14
27,14
28,14
29,14
30,14
31,14
32,14
36,14
60,14
61,14
62,14
97,14
98,14
99,14
100,14
101,14
102,14
63,15
64,15
65,15
66,15
67,15
68,15
69,15
70,15
71,15
72,15
73,15
80,15
81,15
82,15
83,15
103,15
104,15
105,15
106,15
107,15
108,15
109,15
110,15
111,15
112,15
113,15
114,15
115,15
116,15
117,15
84,15
85,15
86,15
87,15
88,15
89,15
90,15
91,15
92,15
93,15
94,15
95,15
96,15
97,15
98,15
99,15
100,15
101,15
102,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
25,15
26,15
27,15
28,15
29,15
30,15
31,15
32,15
36,15
37,15
58,15
59,15
60,15
61,15
62,15
74,15
75,15
76,15
77,15
78,15
79,15
80,16
81,16
82,16
83,16
84,16
103,16
104,16
105,16
106,16
107,16
108,16
109,16
110,16
111,16
112,16
113,16
114,16
115,16
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
28,16
29,16
30,16
31,16
32,16
33,16
59,16
60,16
61,16
62,16
63,16
64,16
65,16
66,16
67,16
68,16
69,16
70,16
71,16
73,16
75,16
76,16
77,16
78,16
79,16
85,16
86,16
87,16
88,16
89,16
90,16
91,16
92,16
93,16
94,16
95,16
96,16
97,16
98,16
99,16
100,16
101,16
102,16
59,17
60,17
61,17
62,17
7,17
8,17
9,17
10,17
11,17
12,17
13,17
14,17
15,17
16,17
17,17
18,17
19,17
20,17
21,17
22,17
23,17
24,17
25,17
26,17
27,17
28,17
29,17
64,17
66,17
67,17
68,17
69,17
70,17
71,17
80,17
81,17
82,17
83,17
84,17
85,17
103,17
104,17
105,17
106,17
107,17
108,17
109,17
110,17
111,17
112,17
113,17
114,17
115,17
118,17
119,17
76,17
77,17
78,17
79,17
86,17
87,17
88,17
89,17
90,17
91,17
92,17
93,17
94,17
95,17
96,17
97,17
98,17
99,17
100,17
101,17
102,17
56,17
57,17
59,18
60,18
56,18
57,18
58,18
68,18
69,18
70,18
71,18
73,18
74,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
14,18
15,18
16,18
17,18
18,18
19,18
20,18
21,18
22,18
23,18
24,18
25,18
26,18
27,18
28,18
65,18
77,18
78,18
79,18
80,18
81,18
82,18
83,18
84,18
85,18
103,18
104,18
105,18
106,18
107,18
108,18
109,18
110,18
111,18
112,18
113,18
114,18
86,18
87,18
88,18
89,18
90,18
91,18
92,18
93,18
94,18
95,18
96,18
97,18
98,18
99,18
100,18
101,18
102,18
119,19
59,19
63,19
66,19
68,19
71,19
72,19
73,19
74,19
75,19
76,19
77,19
78,19
80,19
81,19
82,19
83,19
84,19
85,19
86,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
25,19
26,19
27,19
55,19
56,19
57,19
58,19
79,19
87,19
88,19
89,19
90,19
91,19
92,19
93,19
94,19
95,19
96,19
97,19
98,19
99,19
100,19
101,19
102,19
103,19
104,19
105,19
106,19
107,19
108,19
109,19
110,19
111,19
113,19
56,20
57,20
58,20
76,20
77,20
78,20
69,20
71,20
72,20
73,20
74,20
75,20
79,20
80,20
81,20
82,20
83,20
84,20
85,20
86,20
65,20
87,20
88,20
89,20
90,20
91,20
92,20
93,20
94,20
95,20
96,20
97,20
98,20
99,20
100,20
101,20
102,20
103,20
104,20
105,20
106,20
107,20
108,20
109,20
110,20
111,20
113,20
114,20
119,20
7,20
8,20
9,20
10,20
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
21,20
22,20
23,20
24,20
25,20
75,21
76,21
77,21
78,21
59,21
60,21
61,21
62,21
63,21
70,21
79,21
80,21
81,21
82,21
83,21
84,21
85,21
86,21
87,21
103,21
104,21
105,21
106,21
107,21
108,21
109,21
110,21
111,21
88,21
89,21
90,21
91,21
92,21
93,21
94,21
95,21
96,21
97,21
98,21
99,21
100,21
101,21
102,21
114,21
115,21
117,21
118,21
119,21
7,21
8,21
9,21
10,21
11,21
12,21
13,21
14,21
15,21
16,21
17,21
18,21
19,21
20,21
21,21
22,21
23,21
24,21
25,21
75,22
76,22
77,22
78,22
56,22
57,22
58,22
59,22
60,22
61,22
62,22
63,22
79,22
80,22
81,22
82,22
83,22
84,22
85,22
86,22
87,22
103,22
104,22
105,22
106,22
107,22
108,22
109,22
110,22
111,22
7,22
8,22
9,22
10,22
11,22
12,22
13,22
14,22
15,22
16,22
17,22
18,22
19,22
20,22
21,22
22,22
23,22
24,22
88,22
89,22
90,22
91,22
92,22
93,22
94,22
95,22
96,22
97,22
98,22
99,22
100,22
101,22
102,22
75,23
68,23
69,23
79,23
81,23
82,23
83,23
84,23
85,23
86,23
87,23
55,23
56,23
57,23
58,23
59,23
60,23
61,23
62,23
63,23
64,23
65,23
76,23
77,23
78,23
80,23
88,23
89,23
90,23
91,23
92,23
93,23
94,23
95,23
96,23
97,23
98,23
99,23
100,23
101,23
102,23
8,23
9,23
10,23
11,23
12,23
13,23
14,23
15,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
23,23
103,23
104,23
105,23
106,23
107,23
108,23
109,23
110,23
111,23
112,23
75,24
79,24
76,24
77,24
78,24
11,24
12,24
